time,trade_id,dir,limit_price,signal_price,created_ts,expired_ts,age_min,conf,mode,reason,research_lane,research_model,closest_price,missed_by_usd,min_price_since_order,max_price_since_order,touched_limit
2026-06-26T07:07:18.660119+00:00,c604c-dfc26fd6ab57,SHORT,60390.56,60345.0,1782457638.660095,1782457638.660086,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T07:11:42.979898+00:00,c604c-9f0e6e202d12,SHORT,,60464.0,1782457902.979867,1782457902.979859,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T07:14:24.705966+00:00,cont-da95d3b71fc6,SHORT,60475.75,60443.0,1782458064.705939,1782458064.705931,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T07:25:11.551917+00:00,cont-d64a28b6ff4d,SHORT,60647.0,60575.0,1782458711.551881,1782458711.551833,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T07:29:20.916636+00:00,scan-63c44d92cb7e,SHORT,,60339.0,1782458960.916612,1782458960.9166,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T07:35:17.173818+00:00,scan-5e1d69b60551,SHORT,,60353.0,1782459317.173789,1782459317.173779,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T07:41:48.978252+00:00,scan-34850e040847,SHORT,,60443.0,1782459708.978227,1782459708.978217,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T07:46:06.490907+00:00,scan-2b41a94df90a,SHORT,,60434.0,1782459966.490883,1782459966.490873,0,58,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T07:48:50.869794+00:00,scan-edeb9300e7b6,SHORT,,60608.0,1782460130.869778,1782460130.869769,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T07:58:10.599670+00:00,scan-77fb3e46160c,SHORT,,60575.0,1782460690.599384,1782460690.598926,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T08:05:58.736225+00:00,scan-802a7700ea8b,SHORT,,60640.0,1782461158.7362,1782461158.736185,0,58,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T08:22:05.283141+00:00,cont-d3b0ae00ed02,SHORT,60321.62,60252.0,1782462125.283113,1782462125.283103,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:22:07.267205+00:00,c604c-006fa0897dc6,SHORT,60319.09,60239.0,1782462127.267164,1782462127.267144,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:26:10.176266+00:00,cont-c6b7ce803d74,SHORT,,60370.0,1782462370.176237,1782462370.176229,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:27:18.234414+00:00,c604c-dbc132f4a11c,SHORT,,60345.0,1782462438.234384,1782462438.234376,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:28:22.507676+00:00,c604c-5739b3c7e81e,SHORT,60408.88,60352.0,1782462502.507647,1782462502.507631,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:30:06.673131+00:00,cont-fee812489eee,SHORT,,60356.0,1782462606.673104,1782462606.673097,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:30:56.091884+00:00,c604c-dcd004a8a680,SHORT,,60342.0,1782462656.091848,1782462656.091841,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:33:37.494690+00:00,c604c-16b3a5535330,SHORT,60368.24,60355.0,1782462817.494659,1782462817.49464,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:36:59.993080+00:00,cont-eaf8f2481443,SHORT,,60275.0,1782463019.993055,1782463019.993047,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:37:58.310759+00:00,cont-a242abfd97d3,SHORT,,60267.0,1782463078.310733,1782463078.310725,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:38:23.054100+00:00,c604c-49643637debc,SHORT,,60313.0,1782463103.054074,1782463103.054067,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:40:06.390064+00:00,cont-b05eb103d489,SHORT,,60279.0,1782463206.390032,1782463206.390025,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:40:12.721712+00:00,c604c-481b7d2b7ea1,SHORT,,60267.0,1782463212.721691,1782463212.721683,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:41:19.342022+00:00,c604c-4ea3ac0fba73,SHORT,60304.71,60265.0,1782463279.341988,1782463279.341975,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:41:21.540795+00:00,cont-7f24a607dfc0,SHORT,60297.25,60217.0,1782463281.540662,1782463281.540651,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:42:43.488394+00:00,cont-0a7a0e761616,SHORT,,60300.0,1782463363.488364,1782463363.488345,0,58,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:46:30.877125+00:00,c604c-4ade449365b0,SHORT,,60286.0,1782463590.8771,1782463590.877092,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:46:45.573718+00:00,cont-2e4af1180c08,SHORT,,60276.0,1782463605.57369,1782463605.573676,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:47:19.266936+00:00,c604c-14fd906318d5,SHORT,,60308.0,1782463639.266915,1782463639.266907,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:47:32.248890+00:00,cont-75305dd4f772,SHORT,60315.61,60304.0,1782463652.248867,1782463652.248858,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:47:32.476044+00:00,c604c-4dd34f3285dd,SHORT,60317.46,60255.0,1782463652.476019,1782463652.476005,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:48:55.557208+00:00,scan-90824960ab25,SHORT,,60238.0,1782463735.557186,1782463735.557173,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T08:49:26.363190+00:00,cont-31eece8abbbb,SHORT,,60218.0,1782463766.363161,1782463766.363152,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:50:36.902171+00:00,cont-618d5e47d359,SHORT,60270.03,60284.0,1782463836.902138,1782463836.902122,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:53:16.461004+00:00,cont-7cfbf4691f4c,SHORT,,60260.0,1782463996.46098,1782463996.46097,0,58,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T08:53:19.948055+00:00,scan-a3e6e7b639e4,SHORT,,60368.0,1782463999.948039,1782463999.948031,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T08:55:57.325577+00:00,c604c-b1e22d59dffb,SHORT,60276.88,60208.0,1782464157.325543,1782464157.325535,0,62,RESEARCH,STALE_NO_EXPOSURE,COMBO_604_SP4_CHASE_3PLUS,AI60-65 · Spread4 · Chase 3+,,,,,False
2026-06-26T08:56:11.585569+00:00,cont-e0c75d0de265,SHORT,60263.05,60208.0,1782464171.585546,1782464171.585538,0,58,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T09:04:03.776641+00:00,scan-8ecd0f425a2d,SHORT,,60281.0,1782464643.776619,1782464643.776611,0,58,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T09:05:37.245196+00:00,scan-bdb0b6e79ec6,SHORT,,60222.0,1782464737.245171,1782464737.245162,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T09:07:02.675714+00:00,scan-26a28f948aeb,SHORT,,60275.0,1782464822.675697,1782464822.675686,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T09:08:03.596604+00:00,scan-e74191912847,SHORT,,60259.0,1782464883.596586,1782464883.596578,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T09:09:46.188118+00:00,cont-9a8ed0cebdea,SHORT,,60158.0,1782464986.18809,1782464986.18808,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-26T09:10:07.942559+00:00,scan-b34a9079f823,SHORT,,60279.0,1782465007.942546,1782465007.942539,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T09:16:15.722722+00:00,scan-deb33df2aa7e,SHORT,,60288.0,1782465375.722703,1782465375.722694,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-26T09:16:58.215749+00:00,scan-b360d51d3503,SHORT,,60323.0,1782465418.215721,1782465418.215711,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
