reason,bot_version,ai_threshold,decision,features_ema9,edge_trigger_reason,exchange,features_delta,data_symbol,ts,effective_threshold,early_fail_enabled,features_price,skip_stage,edge_threshold,trade_id,ai_error,fee_profile,research_model,ai_decision_text,research_lane,ai_win_prob,experiment_tag,analyzer_sync_id,controls_edge,ai_source,ai_error_detail,edge_score,final_direction,invert_signal
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60971.577303,PERIODIC_RESEARCH_AI,bitfinex,-5.312739,tBTCF0:USTF0,2026-06-24T23:55:29.375345+00:00,3.0,True,61079.0,AI,3.0,c604c-663e0ae0234c,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,2.1,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60971.577303,PERIODIC_RESEARCH_AI,bitfinex,-5.312739,tBTCF0:USTF0,2026-06-24T23:55:30.712861+00:00,3.0,True,61079.0,COMPLETE,3.0,c604c-663e0ae0234c,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,2.1,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60977.377303,PERIODIC_RESEARCH_AI,bitfinex,-5.087893,tBTCF0:USTF0,2026-06-24T23:58:44.555447+00:00,3.0,True,61123.0,AI,3.0,cont-b1f3bf3fe853,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.7,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60977.377303,PERIODIC_RESEARCH_AI,bitfinex,-5.087893,tBTCF0:USTF0,2026-06-24T23:58:45.831903+00:00,3.0,True,61123.0,COMPLETE,3.0,cont-b1f3bf3fe853,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.7,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60977.377303,PERIODIC_RESEARCH_AI,bitfinex,-5.087893,tBTCF0:USTF0,2026-06-24T23:58:45.923518+00:00,3.0,True,61123.0,AI,3.0,scan-f73ad6565f15,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.7,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60977.377303,PERIODIC_RESEARCH_AI,bitfinex,-5.087893,tBTCF0:USTF0,2026-06-24T23:58:46.120564+00:00,3.0,True,61123.0,AI,3.0,c604c-f384d18066b6,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.7,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60977.377303,PERIODIC_RESEARCH_AI,bitfinex,-5.087893,tBTCF0:USTF0,2026-06-24T23:58:47.364381+00:00,3.0,True,61123.0,COMPLETE,3.0,c604c-f384d18066b6,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.7,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60996.421842,PERIODIC_RESEARCH_AI,bitfinex,-5.268454,tBTCF0:USTF0,2026-06-25T00:02:08.924071+00:00,3.0,True,61120.0,AI,3.0,cont-37ee86dab13f,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.4,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60996.421842,PERIODIC_RESEARCH_AI,bitfinex,-5.268454,tBTCF0:USTF0,2026-06-25T00:02:12.001964+00:00,3.0,True,61120.0,COMPLETE,3.0,cont-37ee86dab13f,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.4,SHORT,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,,PERIODIC_RESEARCH_AI,bitfinex,-5.259419,tBTCF0:USTF0,2026-06-25T00:02:12.021896+00:00,3.0,True,,AI,3.0,scan-a0467e9528e8,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.4,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60996.421842,PERIODIC_RESEARCH_AI,bitfinex,-5.266732,tBTCF0:USTF0,2026-06-25T00:02:12.166108+00:00,3.0,True,61121.0,AI,3.0,c604c-8093b109b189,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.4,,False
COMPLETE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,COMPLETE,60996.421842,PERIODIC_RESEARCH_AI,bitfinex,-5.266732,tBTCF0:USTF0,2026-06-25T00:02:14.343439+00:00,3.0,True,61121.0,COMPLETE,3.0,c604c-8093b109b189,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,SPAWN,,1.4,SHORT,False
AI_COOLDOWN_167s,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,NO_SIGNAL,,PERIODIC_RESEARCH_AI,bitfinex,,tBTCF0:USTF0,2026-06-25T00:02:14.425734+00:00,3.0,True,,PRE_PIPELINE,3.0,6d39594c-5085-4626-9265-62430bf7e7e6,False,BITFINEX_ZERO,Unknown,,,,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,,,,1.4,,False
APPROVE,v10.7-fresh-scope-relay-audit-2026-06-25,44.0,AI,60993.021842,PERIODIC_RESEARCH_AI,bitfinex,-5.249846,tBTCF0:USTF0,2026-06-25T00:05:25.618879+00:00,3.0,True,61127.0,AI,3.0,cont-2dda54b8e235,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.7-fresh-scope-relay-audit-2026-06-25,3.0,,,1.1,,False
