ts,bull_score,bear_score,velocity,delta,volume_ratio,weaken_signals,trend_state,base_state,structure_score,mtf_agreement
2026-06-24T19:32:07.925739+00:00,3,11,5.016638517750539e-05,-137.07850018999207,0.19246636602137188,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:32:38.003266+00:00,3,11,6.689298794253893e-05,-137.09398306999208,0.06280772251095978,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:33:09.794585+00:00,3,11,8.35449806175645e-05,-137.03794306999205,0.006468496513771462,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:33:52.691655+00:00,3,11,0.0,-136.993592389992,0.20653533993155915,1,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:34:22.922249+00:00,3,11,-0.00020040414836587118,-136.96199238999202,0.1041608998418473,1,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:35:02.718400+00:00,3,11,8.350172848577966e-05,-136.93228013999186,1.133383877782473,1,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:35:33.251860+00:00,3,11,3.337950831984245e-05,-136.83900613999188,0.0075011374537306405,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:36:03.657162+00:00,3,11,-8.343345347750634e-05,-136.670945699992,0.006074935913982311,1,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:36:34.320292+00:00,3,11,1.502944611603242e-05,-136.49548933299224,0.24476223502774722,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:37:04.648637+00:00,3,11,-0.00013350243641946466,-136.40620448999204,0.4914742004550266,1,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:37:35.487154+00:00,3,11,2.3371562464013272e-05,-136.32768341699193,1.4789033049336742,1,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:38:06.437307+00:00,3,11,-0.000150328216606257,-136.06997367999202,0.18927400133453312,1,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:40:05.895129+00:00,3,11,3.3407944409180505e-05,0.04911479999999999,0.002134061759747327,3,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:40:36.213951+00:00,3,11,0.0,0.15329737999999998,0.1433178483175488,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:41:06.618648+00:00,3,11,3.341464229625422e-05,0.34767526,3.843678333161065,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:41:36.926948+00:00,3,11,-6.68371012749177e-05,0.5527940200000002,0.04152785634617489,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:42:07.157230+00:00,3,11,6.685832720465334e-05,0.5996719800000003,0.004749682246257726,3,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:42:37.720076+00:00,3,11,0.0,0.6143116000000004,0.14726791798449362,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:43:08.203980+00:00,3,11,6.690417598795598e-06,0.6298777430000004,6.718197381213076,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:43:39.153727+00:00,3,11,5.016051364365971e-05,0.7179915400000008,0.010256286129049923,3,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:44:09.656363+00:00,3,11,-1.3372782705027038e-05,0.7179875400000009,0.25572656161214935,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:44:40.179910+00:00,3,11,8.359386755387624e-05,0.7173515400000011,0.011728807452390425,3,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:45:38.229355+00:00,3,11,1.3136695741472049e-09,0.8072925800000015,0.00818329534102083,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:46:09.521357+00:00,3,11,-2.83690402654963e-05,0.977143714000001,0.10271482893779947,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:46:40.079645+00:00,3,11,-3.174030721240248e-05,1.1119425630000006,0.003967852538093418,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:47:17.390366+00:00,3,11,1.672028196773242e-05,1.1103259830000005,0.135749519114116,3,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:47:48.615900+00:00,3,11,-4.009695607633741e-05,1.1165584900000003,0.3031226360223423,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:48:19.103469+00:00,3,11,0.000200692388741157,1.3089642499999994,1.18758666656749,2,BEAR,BEAR,-6.0,BEAR_ALIGNED
2026-06-24T19:48:49.229334+00:00,3,11,2.6762812741423097e-05,1.362604249999999,0.007558629263747182,3,BEAR,BEAR,-6.0,BEAR_ALIGNED
