ts,bull_score,bear_score,velocity,delta,volume_ratio,weaken_signals,trend_state,base_state,structure_score,mtf_agreement
2026-06-23T09:48:12.559568+00:00,3,8,-4.4857186712704564e-05,-12.74208794199979,3.503381288450548,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:48:43.793989+00:00,3,8,9.638616050598258e-06,-12.779794723999794,0.10473094000377974,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:49:14.983359+00:00,3,8,8.036822005959059e-06,-12.8165382489998,0.03174374973170416,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:49:45.564993+00:00,3,8,1.762864178140633e-05,-12.826197251999796,2.4869275866891978,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:50:15.966953+00:00,3,8,-1.6023843479096897e-05,-12.909131039999792,2.0703259733190036,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:50:46.823675+00:00,3,8,0.0003365007130610348,-12.941526859999797,0.6377559229962217,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:51:17.683187+00:00,3,8,3.365037941414725e-05,-12.901515183999795,0.6377559229962217,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:51:48.130399+00:00,3,8,3.365037941414725e-05,-12.901515183999795,0.6377559229962217,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:52:19.422993+00:00,3,8,2.403930745925521e-05,-12.912021987999793,1.767710024758353,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:52:50.067729+00:00,3,8,1.6019223067681216e-05,-12.990210119999794,1.6744236769281784,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:53:21.246927+00:00,3,8,-0.0002241398632746834,-12.6725342599998,0.29497173205753624,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:53:51.523119+00:00,3,8,-4.641753494001253e-05,-12.742519099999797,0.003246179632056901,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:54:22.451655+00:00,3,8,-5.442624842027905e-05,-12.725027057999796,0.9780336945713085,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:54:53.257459+00:00,3,8,-5.442624842027905e-05,-12.725027057999796,0.9780336945713085,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:55:23.317947+00:00,3,8,0.0,-12.729789899999801,0.07963738867091251,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:55:56.095107+00:00,3,8,-0.00019225223493223107,-12.735604599999803,0.003559099089462103,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:56:38.857272+00:00,3,8,0.00012819691045445804,-12.771587849999797,0.9157863766132269,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:57:09.343281+00:00,3,8,8.01127988207396e-05,-12.795834269999794,0.8791654537226647,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:57:40.718408+00:00,3,8,1.4424796485685917e-05,-12.752441656999801,0.8791654537226647,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:58:11.334054+00:00,3,8,-3.204460609167962e-05,-13.25711024999979,6.401628183784474,0,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:58:41.893865+00:00,3,8,-0.00016022816490682731,-13.259110249999786,0.0453450182729541,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:59:12.107300+00:00,3,8,-4.804713985308928e-06,-12.990682741999795,0.0453450182729541,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T09:59:43.375671+00:00,3,8,-4.804713985308928e-06,-12.990682741999795,0.0453450182729541,1,BEAR,BEAR,-1.0,BEAR_ALIGNED
2026-06-23T10:00:13.523496+00:00,3,8,1.6030698813324793e-05,-13.215955143999787,0.2596235170724479,2,BEAR,BEAR,-1.0,BEAR_ALIGNED
