ts,trade_id,decision,reason,skip_stage,ai_win_prob,ai_threshold,ai_decision_text,edge_score,edge_threshold,effective_threshold,invert_signal,early_fail_enabled,experiment_tag,features_price,features_ema9,features_delta,controls_edge,final_direction,ai_error,ai_source,edge_trigger_reason,exchange,data_symbol,bot_version,fee_profile,analyzer_sync_id,research_lane,research_model
2026-06-23T18:33:20.077282+00:00,a7aaeab6-8b30-4af0-8ca0-7756e388b496,AI,APPROVE,AI,62,44.0,APPROVE,3.6,3.0,3.0,False,True,INV_False_EF_True,62351.0,62464.249166,3.41718,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:33:20.157956+00:00,43722bb0-c597-4293-8caa-5f1cf4c2b929,NO_SIGNAL,AI_COOLDOWN_173s,PRE_PIPELINE,,44.0,,3.6,3.0,3.0,False,True,INV_False_EF_True,,,,,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,,Unknown
2026-06-23T18:36:31.416848+00:00,cont-b937387df88e,AI,APPROVE,AI,62,44.0,APPROVE,3.7,3.0,3.0,False,True,INV_False_EF_True,62288.0,62458.249166,3.297134,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:36:32.037978+00:00,cont-b937387df88e,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.7,3.0,3.0,False,True,INV_False_EF_True,62288.0,62458.249166,3.297134,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:36:32.060045+00:00,cont-b937387df88e,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,3.7,3.0,3.0,False,True,INV_False_EF_True,62288.0,62458.249166,3.297134,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:36:32.081894+00:00,a5d1d730-1eb0-4368-982c-005670b1a8eb,AI,APPROVE,AI,62,44.0,APPROVE,3.7,3.0,3.0,False,True,INV_False_EF_True,62288.0,62458.249166,3.297134,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:39:42.375927+00:00,cont-36efd14a0b08,AI,APPROVE,AI,62,44.0,APPROVE,3.9,3.0,3.0,False,True,INV_False_EF_True,62285.0,62458.049166,3.320794,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:39:43.106910+00:00,cont-36efd14a0b08,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.9,3.0,3.0,False,True,INV_False_EF_True,62285.0,62458.049166,3.320794,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:39:43.127703+00:00,cont-36efd14a0b08,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,62,44.0,APPROVE,3.9,3.0,3.0,False,True,INV_False_EF_True,62285.0,62458.049166,3.320794,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T18:39:43.148916+00:00,e6d359ab-9dc5-443d-9e3e-dbdc659e0249,AI,APPROVE,AI,62,44.0,APPROVE,3.9,3.0,3.0,False,True,INV_False_EF_True,62285.0,62458.049166,3.320794,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T18:39:43.231720+00:00,bb0448cf-f382-440d-b41e-5d9b5c9621ea,NO_SIGNAL,AI_COOLDOWN_172s,PRE_PIPELINE,,44.0,,3.9,3.0,3.0,False,True,INV_False_EF_True,,,,,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,,Unknown
2026-06-23T18:43:01.864950+00:00,cont-ea3c4920713f,AI,APPROVE,AI,62,44.0,APPROVE,4.6,3.0,3.0,False,True,INV_False_EF_True,,,2.678355,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
